,Name,Logo,Industry Type,Headquarters,No. of Locations,Highly Rated For,Critically Rated For,Rating,Review Count,Interview Count,Salaries Count,Job Count
530,Motherson Automotive Technologies and Engineering,https://static.ambitionbox.com/alpha/company/photos/logos/motherson-automotive-technologies-and-engineering.jpg,Auto Components,Chennai ,60,"['Job Security', 'Skill Development / Learning']",['Promotions / Appraisal'],3.8,0,122,0,9
531,Haier Appliances India,https://static.ambitionbox.com/alpha/company/photos/logos/haier-appliances.jpg,Consumer Electronics & Appliances,Pune ,120,['Salary & Benefits'],['Promotions / Appraisal'],4.0,0,130,0,12
532,HCL Infosystems,https://static.ambitionbox.com/alpha/company/photos/logos/hcl-infosystems.jpg,IT Services & Consulting,Bangalore / Bengaluru ,105,"['Job Security', 'Work Life Balance', 'Company Culture']","['Promotions / Appraisal', 'Salary & Benefits']",3.9,0,143,0,3
533,BA Continuum,https://static.ambitionbox.com/alpha/company/photos/logos/bank-of-america-continuum-solutions.jpg,NBFC,Hyderabad / Secunderabad ,17,"['Job Security', 'Work Life Balance', 'Company Culture']",['Promotions / Appraisal'],4.1,0,101,0,0
534,Infinx,https://static.ambitionbox.com/alpha/company/photos/logos/infinx.jpg,Software Product,Hyderabad / Secunderabad ,30,"['Job Security', 'Company Culture', 'Work Life Balance']",[],4.0,0,186,0,24
535,Torrent Power,https://static.ambitionbox.com/alpha/company/photos/logos/torrent-power.jpg,Power,Ahmedabad ,51,"['Job Security', 'Work Life Balance']","['Promotions / Appraisal', 'Salary & Benefits', 'Work Satisfaction']",3.7,0,132,0,45
536,HTC Global Services,https://static.ambitionbox.com/alpha/company/photos/logos/htc-global-services.jpg,IT Services & Consulting,Chennai ,29,[],"['Promotions / Appraisal', 'Skill Development / Learning', 'Company Culture']",3.6,0,141,0,68
537,PI Industries,https://static.ambitionbox.com/alpha/company/photos/logos/pi-industries.jpg,Agro Chemicals,Bharuch ,94,"['Salary & Benefits', 'Job Security', 'Skill Development / Learning']",['Promotions / Appraisal'],4.0,0,116,0,13
538,Tata Play,https://static.ambitionbox.com/alpha/company/photos/logos/tata-sky.jpg,Broadcasting,Mumbai ,210,"['Job Security', 'Salary & Benefits', 'Company Culture']",[],4.0,0,72,0,0
539,Jio Platforms,https://static.ambitionbox.com/alpha/company/photos/logos/jio-platforms.jpg,IT Services & Consulting,Mumbai ,86,['Job Security'],"['Promotions / Appraisal', 'Salary & Benefits', 'Company Culture']",3.5,0,206,0,0
540,Metro Cash & Carry,https://static.ambitionbox.com/alpha/company/photos/logos/metro.jpg,Retail,Bangalore / Bengaluru ,85,"['Company Culture', 'Work Life Balance', 'Job Security']",['Promotions / Appraisal'],4.1,0,62,0,0
541,Reckitt Benckiser,https://static.ambitionbox.com/alpha/company/photos/logos/reckitt-benckiser.jpg,FMCG,Gurgaon / Gurugram ,115,"['Salary & Benefits', 'Work Life Balance']",['Promotions / Appraisal'],4.0,0,91,0,26
542,Matrimony.com,https://static.ambitionbox.com/alpha/company/photos/logos/matrimonycom.jpg,Internet,Chennai ,59,"['Company Culture', 'Work Life Balance', 'Work Satisfaction']",[],4.2,0,92,0,25
543,DHL Supply Chain,https://static.ambitionbox.com/alpha/company/photos/logos/dhl-supply-chain.jpg,Logistics,Mumbai ,86,"['Job Security', 'Company Culture', 'Work Life Balance']",['Promotions / Appraisal'],4.2,0,87,0,6
544,Newgen Software Technologies,https://static.ambitionbox.com/alpha/company/photos/logos/newgen-software.jpg,IT Services & Consulting,Noida ,27,['Job Security'],"['Work Satisfaction', 'Skill Development / Learning']",3.7,0,187,0,19
545,Honda,https://static.ambitionbox.com/alpha/company/photos/logos/honda.jpg,Automobile,Gurgaon / Gurugram ,210,"['Job Security', 'Company Culture', 'Work Life Balance']",[],4.2,0,102,0,5
546,Jindal Saw,https://static.ambitionbox.com/alpha/company/photos/logos/jindal-saw.jpg,Iron & Steel,Mundra ,69,['Job Security'],[],4.0,0,114,0,16
547,Frankfinn Institute of Air Hostess Training,https://static.ambitionbox.com/alpha/company/photos/logos/frankfinn-institute-of-air-hostess-training.jpg,Education & Training,Gurgaon / Gurugram ,59,"['Company Culture', 'Work Life Balance', 'Work Satisfaction']",[],3.9,0,108,0,36
548,USHA International,https://static.ambitionbox.com/alpha/company/photos/logos/usha.jpg,Consumer Electronics & Appliances,Gurgaon / Gurugram ,126,"['Job Security', 'Company Culture', 'Work Life Balance']",['Promotions / Appraisal'],4.1,0,94,0,12
549,BT Business,https://static.ambitionbox.com/alpha/company/photos/logos/bt.jpg,Hardware & Networking,Gurgaon / Gurugram ,11,"['Work Life Balance', 'Job Security', 'Company Culture']",['Promotions / Appraisal'],4.0,0,83,0,18
550,Tata Power,https://static.ambitionbox.com/alpha/company/photos/logos/tatapower.jpg,Power,Mumbai ,132,"['Job Security', 'Work Life Balance', 'Company Culture']","['Promotions / Appraisal', 'Salary & Benefits']",3.9,0,179,0,4
551,Exela Technologies,https://static.ambitionbox.com/alpha/company/photos/logos/exela-technologies.jpg,IT Services & Consulting,Chennai ,21,[],"['Promotions / Appraisal', 'Salary & Benefits', 'Skill Development / Learning']",3.3,0,88,0,0
552,Chegg,https://static.ambitionbox.com/alpha/company/photos/logos/chegg.jpg,EdTech,New Delhi ,63,"['Work Life Balance', 'Company Culture', 'Skill Development / Learning']","['Job Security', 'Promotions / Appraisal']",4.1,0,159,0,13
553,USV,https://static.ambitionbox.com/alpha/company/photos/logos/usv.jpg,Pharma,Mumbai ,96,"['Company Culture', 'Work Life Balance', 'Job Security']",[],4.0,0,74,0,15
554,Manipal Hospitals,https://static.ambitionbox.com/alpha/company/photos/logos/manipal-hospital.jpg,Healthcare,Bangalore / Bengaluru ,62,"['Skill Development / Learning', 'Job Security', 'Company Culture']",[],4.1,0,89,0,32
555,FactSet,https://static.ambitionbox.com/alpha/company/photos/logos/factset-research-systems.jpg,Financial Services,Hyderabad / Secunderabad ,17,"['Company Culture', 'Work Life Balance', 'Job Security']","['Promotions / Appraisal', 'Salary & Benefits', 'Skill Development / Learning']",3.9,0,214,0,35
556,Aadhar Housing Finance,https://static.ambitionbox.com/alpha/company/photos/logos/aadhar-housing-finance-194424.jpg,Financial Services,Mumbai ,285,"['Skill Development / Learning', 'Salary & Benefits', 'Company Culture']",[],4.2,0,100,0,26
557,NeoSOFT,https://static.ambitionbox.com/alpha/company/photos/logos/neosoft-technologies.jpg,IT Services & Consulting,Mumbai ,22,[],"['Job Security', 'Promotions / Appraisal', 'Company Culture']",3.6,0,274,0,15
558,Tata Communications Transformation Services,https://static.ambitionbox.com/alpha/company/photos/logos/tata-communications-transformation-services.jpg,Telecom,Pune ,86,"['Work Life Balance', 'Job Security', 'Company Culture']","['Promotions / Appraisal', 'Salary & Benefits']",4.0,0,88,0,0
559,EPAM Systems,https://static.ambitionbox.com/alpha/company/photos/logos/epam-systems.jpg,IT Services & Consulting,Hyderabad / Secunderabad ,24,"['Skill Development / Learning', 'Salary & Benefits', 'Work Life Balance']","['Promotions / Appraisal', 'Job Security']",3.7,0,562,0,19
