,Name,Logo,Industry Type,Headquarters,No. of Locations,Highly Rated For,Critically Rated For,Rating,Review Count,Interview Count,Salaries Count,Job Count
328,Domino's Pizza,https://static.ambitionbox.com/alpha/company/photos/logos/dominos.jpg,New Delhi +229 other locations,Ajmer ,225,"['Skill Development / Learning', 'Salary & Benefits']",[],3.9,0,92,0,0
329,Tata Elxsi,https://static.ambitionbox.com/alpha/company/photos/logos/tata-elxsi.jpg,IT Services & Consulting,Bangalore / Bengaluru ,26,"['Job Security', 'Work Life Balance']","['Promotions / Appraisal', 'Salary & Benefits']",3.8,0,311,0,30
330,XpressBees,https://static.ambitionbox.com/alpha/company/photos/logos/xpressbees-201147.jpg,Pune +260 other locations,Bangalore / Bengaluru ,26,[],"['Promotions / Appraisal', 'Company Culture', 'Work Satisfaction']",3.6,0,173,0,4
331,Bajaj Electricals,https://static.ambitionbox.com/alpha/company/photos/logos/bajaj-electricals.jpg,Consumer Electronics & Appliances,Mumbai ,211,"['Salary & Benefits', 'Company Culture', 'Work Life Balance']",['Promotions / Appraisal'],4.0,0,129,0,39
332,Britannia,https://static.ambitionbox.com/alpha/company/photos/logos/britannia.jpg,FMCG,Bangalore / Bengaluru ,255,"['Job Security', 'Skill Development / Learning']",['Promotions / Appraisal'],4.0,0,178,0,6
333,Micro Labs,https://static.ambitionbox.com/alpha/company/photos/logos/micro-labs.jpg,Pharma,Bangalore / Bengaluru ,136,[],"['Promotions / Appraisal', 'Salary & Benefits', 'Company Culture']",3.6,0,133,0,12
334,KPMG Global Services,https://static.ambitionbox.com/alpha/company/photos/logos/kpmg-global-delivery-center.jpg,Management Consulting,Bangalore / Bengaluru ,33,[],"['Promotions / Appraisal', 'Work Satisfaction', 'Salary & Benefits']",3.5,0,230,0,0
335,Sterlite Technologies,https://static.ambitionbox.com/alpha/company/photos/logos/sterlite-technology.jpg,Hardware & Networking,Aurangabad ,90,[],"['Promotions / Appraisal', 'Job Security']",3.8,0,168,0,19
336,Exide Industries,https://static.ambitionbox.com/alpha/company/photos/logos/exide_industries.jpg,Auto Components,Kolkata ,192,[],"['Promotions / Appraisal', 'Company Culture', 'Work Satisfaction']",3.5,0,180,0,66
337,G4S,https://static.ambitionbox.com/alpha/company/photos/logos/g4s.jpg,Law Enforcement & Security,Gurgaon / Gurugram ,143,"['Work Life Balance', 'Salary & Benefits']",['Promotions / Appraisal'],4.0,0,107,0,72
338,Indus Towers,https://static.ambitionbox.com/alpha/company/photos/logos/indus-towers.jpg,Hardware & Networking,Gurgaon / Gurugram ,193,[],"['Promotions / Appraisal', 'Work Life Balance', 'Work Satisfaction']",3.8,0,187,0,30
339,KocharTech,https://static.ambitionbox.com/alpha/company/photos/logos/kochartech.jpg,IT Services & Consulting,Kolkata ,24,"['Skill Development / Learning', 'Company Culture', 'Work Life Balance']",[],3.9,0,75,0,45
340,KocharTech,https://static.ambitionbox.com/alpha/company/photos/logos/kochartech.jpg,IT Services & Consulting,Kolkata ,24,"['Skill Development / Learning', 'Company Culture', 'Work Life Balance']",[],3.9,0,75,0,45
341,TVS Supply Chain Solutions,https://static.ambitionbox.com/alpha/company/photos/logos/tvs-supply-chain-solutions.jpg,Chennai +142 other locations,Kolkata ,24,[],"['Promotions / Appraisal', 'Salary & Benefits']",3.8,0,136,0,5
342,Voltas,https://static.ambitionbox.com/alpha/company/photos/logos/voltas.jpg,Consumer Electronics & Appliances,Mumbai ,183,"['Job Security', 'Company Culture', 'Work Life Balance']",['Promotions / Appraisal'],4.0,0,136,0,10
343,Capgemini Engineering,https://static.ambitionbox.com/alpha/company/photos/logos/capgemini-engineering.jpg,IT Services & Consulting,Bangalore / Bengaluru ,26,[],"['Promotions / Appraisal', 'Salary & Benefits', 'Work Satisfaction']",3.5,0,372,0,96
344,McDonald's,https://static.ambitionbox.com/alpha/company/photos/logos/mcdonalds-corporation.jpg,New Delhi +142 other locations,Bangalore / Bengaluru ,26,"['Skill Development / Learning', 'Company Culture', 'Job Security']",[],4.1,0,126,0,4
345,VVDN Technologies,https://static.ambitionbox.com/alpha/company/photos/logos/vvdn-technologies.jpg,IT Services & Consulting,Gurgaon / Gurugram ,41,[],"['Promotions / Appraisal', 'Salary & Benefits', 'Company Culture']",3.6,0,209,0,5
346,KFintech,https://static.ambitionbox.com/alpha/company/photos/logos/kfintech.jpg,FinTech,Hyderabad / Secunderabad ,104,['Job Security'],"['Promotions / Appraisal', 'Salary & Benefits', 'Skill Development / Learning']",3.5,0,145,0,10
347,Jindal Stainless,https://static.ambitionbox.com/alpha/company/photos/logos/jindal-stainless.jpg,Iron & Steel,Jajpur ,64,"['Job Security', 'Skill Development / Learning', 'Work Life Balance']",[],4.2,0,226,0,7
348,ZS,https://static.ambitionbox.com/alpha/company/photos/logos/zs.jpg,Management Consulting,Pune ,15,[],"['Work Life Balance', 'Work Satisfaction', 'Promotions / Appraisal']",3.3,0,463,0,145
349,Patanjali Ayurved,https://static.ambitionbox.com/alpha/company/photos/logos/patanjali-ayurved-22934.jpg,FMCG,Haridwar ,272,['Work Life Balance'],['Promotions / Appraisal'],3.9,0,114,0,0
350,Alldigi Tech,https://static.ambitionbox.com/alpha/company/photos/logos/allsec-technologies.jpg,BPO,Chennai ,31,"['Job Security', 'Company Culture', 'Work Life Balance']",[],4.0,0,206,0,26
351,Blinkit,https://static.ambitionbox.com/alpha/company/photos/logos/grofers-639.jpg,Internet,Gurgaon / Gurugram ,87,[],"['Job Security', 'Promotions / Appraisal', 'Company Culture']",3.7,0,208,0,1
352,Fortis Healthcare,https://static.ambitionbox.com/alpha/company/photos/logos/fortis-healthcare.jpg,Healthcare,New Delhi ,63,"['Job Security', 'Skill Development / Learning', 'Company Culture']",['Promotions / Appraisal'],4.0,0,135,0,90
353,Dalmia Bharat Cement,https://static.ambitionbox.com/alpha/company/photos/logos/dalmia-bharat-cement-limited.jpg,Building Material,New Delhi ,224,"['Job Security', 'Company Culture', 'Skill Development / Learning']",['Promotions / Appraisal'],4.0,0,149,0,1
354,Tractors and Farm Equipment,https://static.ambitionbox.com/alpha/company/photos/logos/tafe-tractors-and-farm-equipment.jpg,Industrial Machinery,Chennai ,174,"['Skill Development / Learning', 'Company Culture', 'Work Life Balance']",['Promotions / Appraisal'],4.0,0,114,0,10
355,SRF,https://static.ambitionbox.com/alpha/company/photos/logos/srf.jpg,Chemicals,Bharuch ,60,"['Job Security', 'Skill Development / Learning', 'Salary & Benefits']",[],4.1,0,186,0,13
356,Shell,https://static.ambitionbox.com/alpha/company/photos/logos/shell.jpg,Oil & Gas,Bangalore / Bengaluru ,82,"['Work Life Balance', 'Company Culture', 'Salary & Benefits']","['Promotions / Appraisal', 'Job Security']",4.0,0,201,0,6
357,Blue Star,https://static.ambitionbox.com/alpha/company/photos/logos/blue-star.jpg,Consumer Electronics & Appliances,Mumbai ,141,"['Company Culture', 'Skill Development / Learning', 'Work Life Balance']",[],4.1,0,172,0,136
358,ACT Fibernet,https://static.ambitionbox.com/alpha/company/photos/logos/act-fibernet.jpg,Telecom,Hyderabad / Secunderabad ,49,"['Company Culture', 'Job Security', 'Salary & Benefits']",['Promotions / Appraisal'],4.0,0,140,0,49
359,NoBroker,https://static.ambitionbox.com/alpha/company/photos/logos/nobroker-158993.jpg,Real Estate,Bangalore / Bengaluru ,40,[],"['Work Satisfaction', 'Promotions / Appraisal', 'Work Life Balance']",3.2,0,245,0,84
